dteday,time_of_day,cnt
2011-01-01,Afternoon,487
2011-01-01,Evening,175
2011-01-01,Morning,120
2011-01-01,Night,203
2011-01-02,Afternoon,377
2011-01-02,Evening,170
2011-01-02,Morning,154
2011-01-02,Night,100
2011-01-03,Afternoon,347
2011-01-03,Evening,476
2011-01-03,Morning,434
2011-01-03,Night,92
2011-01-04,Afternoon,386
2011-01-04,Evening,560
2011-01-04,Morning,512
2011-01-04,Night,104
2011-01-05,Afternoon,363
2011-01-05,Evening,580
2011-01-05,Morning,537
2011-01-05,Night,120
2011-01-06,Afternoon,369
2011-01-06,Evening,516
2011-01-06,Morning,580
2011-01-06,Night,141
2011-01-07,Afternoon,341
2011-01-07,Evening,456
2011-01-07,Morning,597
2011-01-07,Night,116
2011-01-08,Afternoon,445
2011-01-08,Evening,182
2011-01-08,Morning,174
2011-01-08,Night,158
2011-01-09,Afternoon,404
2011-01-09,Evening,189
2011-01-09,Morning,135
2011-01-09,Night,94
2011-01-10,Afternoon,272
2011-01-10,Evening,502
2011-01-10,Morning,454
2011-01-10,Night,93
2011-01-11,Afternoon,295
2011-01-11,Evening,314
2011-01-11,Morning,568
2011-01-11,Night,86
2011-01-12,Afternoon,265
2011-01-12,Evening,415
2011-01-12,Morning,358
2011-01-12,Night,124
2011-01-13,Afternoon,315
2011-01-13,Evening,469
2011-01-13,Morning,519
2011-01-13,Night,103
2011-01-14,Afternoon,360
2011-01-14,Evening,458
2011-01-14,Morning,467
2011-01-14,Night,136
2011-01-15,Afternoon,565
2011-01-15,Evening,282
2011-01-15,Morning,201
2011-01-15,Night,200
2011-01-16,Afternoon,525
2011-01-16,Evening,290
2011-01-16,Morning,228
2011-01-16,Night,161
2011-01-17,Afternoon,434
2011-01-17,Evening,256
2011-01-17,Morning,220
2011-01-17,Night,90
2011-01-18,Afternoon,149
2011-01-18,Evening,440
2011-01-18,Morning,0
2011-01-18,Night,94
2011-01-19,Afternoon,409
2011-01-19,Evening,546
2011-01-19,Morning,534
2011-01-19,Night,161
2011-01-20,Afternoon,424
2011-01-20,Evening,678
2011-01-20,Morning,659
2011-01-20,Night,166
2011-01-21,Afternoon,375
2011-01-21,Evening,430
2011-01-21,Morning,605
2011-01-21,Night,133
2011-01-22,Afternoon,415
2011-01-22,Evening,225
2011-01-22,Morning,193
2011-01-22,Night,148
2011-01-23,Afternoon,455
2011-01-23,Evening,189
2011-01-23,Morning,210
2011-01-23,Night,132
2011-01-24,Afternoon,295
2011-01-24,Evening,524
2011-01-24,Morning,469
2011-01-24,Night,128
2011-01-25,Afternoon,467
2011-01-25,Evening,712
2011-01-25,Morning,651
2011-01-25,Night,155
2011-01-26,Afternoon,210
2011-01-26,Evening,26
2011-01-26,Morning,238
2011-01-26,Night,32
2011-01-27,Afternoon,24
2011-01-27,Evening,326
2011-01-27,Morning,0
2011-01-27,Night,81
2011-01-28,Afternoon,219
2011-01-28,Evening,409
2011-01-28,Morning,417
2011-01-28,Night,122
2011-01-29,Afternoon,469
2011-01-29,Evening,260
2011-01-29,Morning,194
2011-01-29,Night,175
2011-01-30,Afternoon,535
2011-01-30,Evening,230
2011-01-30,Morning,179
2011-01-30,Night,152
2011-01-31,Afternoon,338
2011-01-31,Evening,506
2011-01-31,Morning,531
2011-01-31,Night,126
2011-02-01,Afternoon,277
2011-02-01,Evening,526
2011-02-01,Morning,426
2011-02-01,Night,131
2011-02-02,Afternoon,381
2011-02-02,Evening,538
2011-02-02,Morning,461
2011-02-02,Night,146
2011-02-03,Afternoon,305
2011-02-03,Evening,527
2011-02-03,Morning,565
2011-02-03,Night,153
2011-02-04,Afternoon,448
2011-02-04,Evening,534
2011-02-04,Morning,584
2011-02-04,Night,142
2011-02-05,Afternoon,310
2011-02-05,Evening,314
2011-02-05,Morning,128
2011-02-05,Night,253
2011-02-06,Afternoon,856
2011-02-06,Evening,246
2011-02-06,Morning,284
2011-02-06,Night,237
2011-02-07,Afternoon,354
2011-02-07,Evening,607
2011-02-07,Morning,585
2011-02-07,Night,166
2011-02-08,Afternoon,313
2011-02-08,Evening,485
2011-02-08,Morning,617
2011-02-08,Night,115
2011-02-09,Afternoon,331
2011-02-09,Evening,508
2011-02-09,Morning,571
2011-02-09,Night,195
2011-02-10,Afternoon,309
2011-02-10,Evening,534
2011-02-10,Morning,511
2011-02-10,Night,184
2011-02-11,Afternoon,464
2011-02-11,Evening,549
2011-02-11,Morning,566
2011-02-11,Night,167
2011-02-12,Afternoon,694
2011-02-12,Evening,282
2011-02-12,Morning,285
2011-02-12,Night,211
2011-02-13,Afternoon,763
2011-02-13,Evening,328
2011-02-13,Morning,284
2011-02-13,Night,214
2011-02-14,Afternoon,544
2011-02-14,Evening,616
2011-02-14,Morning,621
2011-02-14,Night,132
2011-02-15,Afternoon,415
2011-02-15,Evening,664
2011-02-15,Morning,581
2011-02-15,Night,155
2011-02-16,Afternoon,500
2011-02-16,Evening,756
2011-02-16,Morning,635
2011-02-16,Night,224
2011-02-17,Afternoon,557
2011-02-17,Evening,810
2011-02-17,Morning,827
2011-02-17,Night,281
2011-02-18,Afternoon,956
2011-02-18,Evening,837
2011-02-18,Morning,822
2011-02-18,Night,312
2011-02-19,Afternoon,761
2011-02-19,Evening,321
2011-02-19,Morning,360
2011-02-19,Night,193
2011-02-20,Afternoon,907
2011-02-20,Evening,331
2011-02-20,Morning,348
2011-02-20,Night,226
2011-02-21,Afternoon,455
2011-02-21,Evening,224
2011-02-21,Morning,321
2011-02-21,Night,107
2011-02-22,Afternoon,323
2011-02-22,Evening,586
2011-02-22,Morning,361
2011-02-22,Night,180
2011-02-23,Afternoon,398
2011-02-23,Evening,681
2011-02-23,Morning,634
2011-02-23,Night,204
2011-02-24,Afternoon,386
2011-02-24,Evening,518
2011-02-24,Morning,691
2011-02-24,Night,212
2011-02-25,Afternoon,440
2011-02-25,Evening,498
2011-02-25,Morning,347
2011-02-25,Night,176
2011-02-26,Afternoon,881
2011-02-26,Evening,482
2011-02-26,Morning,381
2011-02-26,Night,225
2011-02-27,Afternoon,1263
2011-02-27,Evening,497
2011-02-27,Morning,339
2011-02-27,Night,303
2011-02-28,Afternoon,170
2011-02-28,Evening,335
2011-02-28,Morning,701
2011-02-28,Night,240
2011-03-01,Afternoon,409
2011-03-01,Evening,673
